datetime,Номер скважины,forecast
1992-04-11,0,14.036155318371687
1992-04-12,0,12.947911848242581
1992-04-13,0,12.10089963834803
1992-04-14,0,11.44164488203386
1992-04-15,0,10.928527327592745
1992-04-16,0,10.52915269714236
1992-04-17,0,10.218307562208109
1992-04-18,0,9.976367562655993
1992-04-19,0,9.78805847621763
1992-04-20,0,9.641491922109607
1992-04-21,0,9.527414820524115
1992-04-22,0,9.43862522466205
1992-04-23,0,9.369517645456591
1992-04-24,0,9.315729164303256
1992-04-25,0,9.273863992088483
1992-04-26,0,9.241279085301914
1992-04-27,0,9.21591728469012
1992-04-28,0,9.196177442115598
1992-04-29,0,9.180813336434326
1992-04-30,0,9.168854996721429
1992-05-01,0,9.159547465801266
1992-05-02,0,9.152303138084406
1992-05-03,0,9.146664662690723
1992-05-04,0,9.142276069848469
1992-05-05,0,9.13886029771321
1992-05-06,0,9.136201700823637
1992-05-07,0,9.134132435913287
1992-05-08,0,9.132521865583502
1992-05-09,0,9.131268310867423
1992-05-10,0,9.130292632005629
1992-05-11,0,9.129533232173184
1992-05-12,0,9.128942168732026
1992-05-13,0,9.128482126503219
1992-05-14,0,9.128124061974864
1992-05-15,0,9.127845369719159
1992-05-16,0,9.127628455260341
1992-05-17,0,9.127459624295428
1992-05-18,0,9.127328218141736
1992-05-19,0,9.127225940830007
1992-05-20,0,9.127146335361003
1992-05-21,0,9.127084376060468
1992-05-22,0,9.127036151296883
1992-05-23,0,9.126998616531276
1992-05-24,0,9.12696940210855
1992-05-25,0,9.126946663655774
1992-05-26,0,9.126928965642724
1992-05-27,0,9.126915190753598
1992-05-28,0,9.126904469348323
1992-05-29,0,9.12689612456021
1992-05-30,0,9.12688962956381
1992-05-31,0,9.126884574315232
1992-06-01,0,9.12688063966514
1992-06-02,0,9.126877577210129
1992-06-03,0,9.126875193610449
1992-06-04,0,9.126873338384033
1992-06-05,0,9.12687189440622
1992-06-06,0,9.126870770515406
1992-06-07,0,9.12686989575781
1992-06-08,0,9.126869214907996
1992-06-09,0,9.126868684982368
1992-06-10,0,9.126868272525513
1992-06-11,0,9.126867951498095
1992-06-12,0,9.126867701632923
1992-06-13,0,9.126867507155438
1992-06-14,0,9.126867355787837
1992-06-15,0,9.126867237973938
1992-06-16,0,9.126867146275881
1992-06-17,0,9.12686707490456
1992-06-18,0,9.126867019354142
1992-06-19,0,9.126866976117602
1992-06-20,0,9.12686694246532
1992-06-21,0,9.126866916272748
1992-06-22,0,9.126866895886291
1992-06-23,0,9.126866880018907
1992-06-24,0,9.12686686766885
1992-06-25,0,9.126866858056434
1992-06-26,0,9.126866850574807
1992-06-27,0,9.126866844751634
1992-06-28,0,9.126866840219284
1992-06-29,0,9.126866836691622
1992-06-30,0,9.126866833945938
1992-07-01,0,9.12686683180889
1992-07-02,0,9.126866830145563
1992-07-03,0,9.126866828850945
1992-07-04,0,9.126866827843306
1992-07-05,0,9.12686682705903
1992-07-06,0,9.126866826448605
1992-07-07,0,9.126866825973494
1992-07-08,0,9.1268668256037
1992-07-09,0,9.12686682531588
1992-04-11,1,10.102202339599076
1992-04-12,1,9.943748481662986
1992-04-13,1,9.868755051109249
1992-04-14,1,9.833261976346204
1992-04-15,1,9.816463726861773
1992-04-16,1,9.808513410141538
1992-04-17,1,9.80475066474294
1992-04-18,1,9.802969823371095
1992-04-19,1,9.802126982398422
1992-04-20,1,9.80172808055548
1992-04-21,1,9.80153928731279
1992-04-22,1,9.801449934783802
1992-04-23,1,9.80140764579971
1992-04-24,1,9.80138763116559
1992-04-25,1,9.801378158590458
1992-04-26,1,9.801373675386865
1992-04-27,1,9.801371553565271
1992-04-28,1,9.801370549344343
1992-04-29,1,9.801370074064199
1992-04-30,1,9.801369849122446
1992-05-01,1,9.801369742661462
1992-05-02,1,9.801369692275346
1992-05-03,1,9.801369668428482
1992-05-04,1,9.80136965714218
